Quartier,Commune,Etage,Superficie,Piece,Electricite,Gaz,Eau,Acte notarie,Jardin,Livret foncier,Meuble,Garage,Prix
200logement,Ain Taya,2.0,70,3.0,1,1,1,0,0,0,0,0,2500.0
ain taya,Ain Taya,2.0,65,2.0,1,1,1,0,0,0,0,0,4200.0
la pirouse,Ain Taya,1.0,70,3.0,1,1,1,0,0,0,0,0,4800.0
Djember,Ain Taya,1.0,75,3.0,1,1,1,0,0,1,0,1,2100.0
surcouf,Ain Taya,1.0,56,2.0,1,1,1,0,0,0,0,0,4500.0
hraoua,Ain Taya,8.0,75,3.0,1,1,1,1,0,0,0,0,1250.0
sonda ,Ain Taya,3.0,64,3.0,1,1,1,0,0,0,0,0,1000.0
eucalyptus bin ain taya w dergana ,Ain Taya,1.0,70,3.0,1,1,1,0,1,0,0,1,1350.0
Audin,Alger Centre,4.0,80,3.0,1,1,1,1,0,1,0,0,1700.0
avenu pasteur,Alger Centre,4.0,97,4.0,1,1,1,1,0,1,0,0,1500.0
ASSELAH HOCINE,Alger Centre,1.0,90,4.0,1,1,1,1,0,1,0,0,2400.0
MEISSONNIER ALGER CENTRE,Alger Centre,5.0,100,4.0,0,0,0,0,0,0,0,0,2750.0
sacre coeur,Alger Centre,3.0,108,4.0,1,1,1,1,0,1,0,0,1900.0
RUE DES FRERES BENNACEUR EX RUE MOGADOR.,Alger Centre,3.0,105,5.0,0,0,0,1,0,0,0,0,1300.0
1mai,Alger Centre,4.0,72,3.0,0,1,1,1,0,1,0,0,1700.0
07 rue didouche mourad,Alger Centre,1.0,131,4.0,1,1,1,1,1,0,0,0,2200.0
didouche mourad ,Alger Centre,2.0,65,2.0,1,1,1,1,0,1,0,0,1000.0
     ,Alger Centre,3.0,140,5.0,1,1,1,0,0,0,0,0,3800.0
"axe grande poste ,Rue dIsly",Alger Centre,5.0,120,5.0,1,1,1,1,0,0,1,0,2000.0
